delta_time	protocols	ip_src	ip_dst	port_src	port_dst	frame_len	udp_len	ip_ttl	icmp_type	tos	ip_flags_rb	ip_flags_df	ip_flags_mf	tcp_flags_res	tcp_flags_ns	tcp_flags_cwr	tcp_flags_ecn	tcp_flags_urg	tcp_flags_ack	tcp_flags_push	tcp_flags_reset	tcp_flags_syn	tcp_flags_fin	epoch_time	label	tipo_ataque
1e-06	TCP	192.168.100.149	192.168.100.5	30117.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.52894	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30122.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528941	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30123.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528942	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30126.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528943	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30127.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528944	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30128.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528945	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30129.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528946	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30132.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528947	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30133.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528948	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30138.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528949	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30139.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.52895	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30142.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528951	1	DoS_TCP
1e-06	TCP	192.168.100.149	192.168.100.5	30143.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528081325.528952	1	DoS_TCP
