delta_time	protocols	ip_src	ip_dst	port_src	port_dst	frame_len	udp_len	ip_ttl	icmp_type	tos	ip_flags_rb	ip_flags_df	ip_flags_mf	tcp_flags_res	tcp_flags_ns	tcp_flags_cwr	tcp_flags_ecn	tcp_flags_urg	tcp_flags_ack	tcp_flags_push	tcp_flags_reset	tcp_flags_syn	tcp_flags_fin	epoch_time	label	tipo_ataque
0.001611	ICMP	192.168.100.150	192.168.100.3			98		64	8.0	0	0	0	0											1526876109.391454	1	Reconnaissance_OS_Fingerprint
0.005463	ICMP	192.168.100.150	192.168.100.3			60		64	13.0	0	0	0	0											1526876110.051233	1	Reconnaissance_OS_Fingerprint
0.043186	ICMP	192.168.100.150	192.168.100.3			60		64	17.0	0	0	0	0											1526876110.619465	1	Reconnaissance_OS_Fingerprint
0.030458	DNS	192.168.100.150	192.168.100.3	53.0	65534.0	122	88.0	255		0	0	1	0											1526876111.259321	1	Reconnaissance_OS_Fingerprint
8e-05	ICMP	192.168.100.3,192.168.100.150	192.168.100.150,192.168.100.3	53.0	65534.0	150	88.0	64,255	3.0	48,0	0,0	0,1	0,0											1526876111.259401	1	Reconnaissance_OS_Fingerprint
0.029836	TCP	192.168.100.150	192.168.100.3	17529.0	65535.0	60		64		4	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526876111.839212	1	Reconnaissance_OS_Fingerprint
0.040587	ICMP	192.168.100.148	192.168.100.3			98		64	8.0	0	0	0	0											1526876112.036372	1	Reconnaissance_OS_Fingerprint
0.026629	ICMP	192.168.100.149	192.168.100.3			98		64	8.0	0	0	0	0											1526876112.07238	1	Reconnaissance_OS_Fingerprint
0.035324	ICMP	192.168.100.148	192.168.100.3			98		64	8.0	1	0	1	0											1526876112.61169	1	Reconnaissance_OS_Fingerprint
0.044023	ICMP	192.168.100.149	192.168.100.3			60		64	13.0	0	0	0	0											1526876113.039844	1	Reconnaissance_OS_Fingerprint
0.001899	ICMP	192.168.100.148	192.168.100.3			60		64	13.0	0	0	0	0											1526876113.187721	1	Reconnaissance_OS_Fingerprint
0.020102	ICMP	192.168.100.147	192.168.100.3			98		64	8.0	0	0	0	0											1526876113.317903	1	Reconnaissance_OS_Fingerprint
0.038112	ICMP	192.168.100.149	192.168.100.3			60		64	17.0	0	0	0	0											1526876113.619939	1	Reconnaissance_OS_Fingerprint
0.000793	ICMP	192.168.100.148	192.168.100.3			60		64	17.0	0	0	0	0											1526876113.763569	1	Reconnaissance_OS_Fingerprint
